,coef,std err,t,P>|t|,[0.025,0.975]
2006 beta:GICS_SECTOR_NAME[Energy],-7.515e-05,0.0,-0.575,0.5660000000000001,-0.0,0.0
2006 beta:GICS_SECTOR_NAME[Financials],0.0001,0.0,1.045,0.297,-0.0,0.0
2006 beta:GICS_SECTOR_NAME[Health Care],4.77e-05,0.0,0.28300000000000003,0.777,-0.0,0.0
2006 beta:GICS_SECTOR_NAME[Industrials],0.0003,0.0,2.134,0.033,2.14e-05,0.001
2006 beta:GICS_SECTOR_NAME[Information Technology],3.277e-05,9.46e-05,0.34700000000000003,0.7290000000000001,-0.0,0.0
2006 beta:GICS_SECTOR_NAME[Materials],0.0005,0.0,3.678,0.0,0.0,0.001
2006 beta:GICS_SECTOR_NAME[Real Estate],0.0008,0.0,3.523,0.0,0.0,0.001
2006 beta:GICS_SECTOR_NAME[Utilities],0.0003,0.0,1.0390000000000001,0.299,-0.0,0.001
2006 Intercept,0.0004,0.0,3.411,0.001,0.0,0.001
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Communications],0.0004,0.0,2.241,0.025,4.94e-05,0.001
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Discretionary],5.3700000000000004e-05,0.0,0.48700000000000004,0.626,-0.0,0.0
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Consumer Staples],0.0003,0.0,1.2670000000000001,0.20600000000000002,-0.0,0.001
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Energy],-9.797e-05,0.0,-0.8029999999999999,0.42200000000000004,-0.0,0.0
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Financials],0.0002,0.0,1.58,0.115,-4.6700000000000003e-05,0.0
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Health Care],-3.75e-06,0.0,-0.025,0.98,-0.0,0.0
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Industrials],0.0003,0.0,2.57,0.01,6.73e-05,0.001
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Materials],0.0005,0.0,4.365,0.0,0.0,0.001
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Real Estate],0.0009,0.0,4.387,0.0,0.0,0.001
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Technology],3.66e-05,8.65e-05,0.423,0.672,-0.0,0.0
2006 beta:BICS_LEVEL_1_SECTOR_NAME[Utilities],0.0005,0.0,1.8630000000000002,0.063,-2.5e-05,0.001
2007 Intercept,0.0003,0.0,1.306,0.192,-0.0,0.001
2007 beta:Cluster[Cluster 0],0.0005,0.0,2.4659999999999997,0.013999999999999999,9.520000000000001e-05,0.001
2007 beta:Cluster[Cluster 1],-0.001,0.0,-4.413,0.0,-0.001,-0.001
